id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-1674717";"2022-06-10";"1";"Vente";"914180.0";"22";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0072";"None";"None";"29";"94.63";"65";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"95.0";"4.0";"None";"None";"None";"None";"None";"2.312621";"48.837053";"000CM"
"2022-1674717";"2022-06-10";"1";"Vente";"914180.0";"22";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0072";"None";"None";"84";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"None";"2.312621";"48.837053";"000CM"
"2022-1674717";"2022-06-10";"1";"Vente";"914180.0";"22";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0072";"None";"None";"29";"94.63";"65";"nan";"None";"None";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"None";"2.312621";"48.837053";"000CM"
"2022-1670056";"2022-04-20";"1";"Vente";"890000.0";"10";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0054";"None";"None";"67";"nan";"7";"73.08";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"71.0";"3.0";"None";"None";"None";"None";"None";"2.313672";"48.837897";"000CM"
"2022-1670056";"2022-04-20";"1";"Vente";"890000.0";"10";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0054";"None";"None";"67";"nan";"7";"73.08";"None";"None";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"None";"2.313672";"48.837897";"000CM"
"2022-1670056";"2022-04-20";"1";"Vente";"890000.0";"10";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0054";"None";"None";"39";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"None";"2.313672";"48.837897";"000CM"
"2022-1669239";"2022-03-28";"1";"Vente";"520000.0";"14";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0074";"None";"None";"36";"62.25";"71";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"62.0";"3.0";"None";"None";"None";"None";"None";"2.31313";"48.83747";"000CM"
"2022-1669239";"2022-03-28";"1";"Vente";"520000.0";"14";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0074";"None";"None";"36";"62.25";"71";"nan";"None";"None";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"None";"2.31313";"48.83747";"000CM"
"2022-1669239";"2022-03-28";"1";"Vente";"520000.0";"14";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0074";"None";"None";"122";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"None";"2.31313";"48.83747";"000CM"
"2022-1664070";"2022-01-13";"1";"Vente";"469500.0";"22";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0072";"None";"None";"13";"nan";"71";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"38.0";"2.0";"None";"None";"None";"None";"None";"2.312621";"48.837053";"000CM"
"2022-1664070";"2022-01-13";"1";"Vente";"469500.0";"22";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0072";"None";"None";"94";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"None";"2.312621";"48.837053";"000CM"
